source_id,source_name,methodology_name,methodology_code,source_project_id,project_name,country,project_url
gold_standard,Gold Standard,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,13112,GS23156 VPA-1 Improved Rice Cultivation in Bangladesh,Bangladesh,https://registry.goldstandard.org/projects/details/13112
gold_standard,Gold Standard,AMS-I.C. Thermal energy production with or without electricity,,23146,Biomass based cogeneration project by Olam Agri in Rajgoli Maharashtra,India,https://registry.goldstandard.org/projects/details/23146
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,23145,GS13134 VPA-1 Changing Lives by Improved Cooking - Bharat,India,https://registry.goldstandard.org/projects/details/23145
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,13134,Changing Lives Via Improved Cooking - Bharat,India,https://registry.goldstandard.org/projects/details/13134
gold_standard,Gold Standard,ACM0026 Fossil fuel based cogeneration for identified recipient facility(ies),,12990,National Company for Maize Products (NCMP) - Combined Heat & Power Project ,Egypt,https://registry.goldstandard.org/projects/details/12990
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,13152,OYU - Green Flames of Progress in Malawi VPA01,Malawi,https://registry.goldstandard.org/projects/details/13152
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,13151,OYU - Green Flames of Progress in Malawi,Malawi,https://registry.goldstandard.org/projects/details/13151
gold_standard,Gold Standard,Methodology for animal waste management and biogas application,,13148,GS13147 HomeBiogas project in Rwanda-VPA1,Rwanda,https://registry.goldstandard.org/projects/details/13148
gold_standard,Gold Standard,Methodology for animal waste management and biogas application,,13147,HomeBiogas project in Rwanda ,Rwanda,https://registry.goldstandard.org/projects/details/13147
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,13044,LifeStraw Give Back Program,Kenya,https://registry.goldstandard.org/projects/details/13044
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,12603,SMG Clean Cooking Program VPA02,India,https://registry.goldstandard.org/projects/details/12603
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,13128,Supplying Safe Drinking Water to Communities in Odisha,India,https://registry.goldstandard.org/projects/details/13128
gold_standard,Gold Standard,GS TPDDTEC v3.1,,13025,UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-45,Malawi,https://registry.goldstandard.org/projects/details/13025
gold_standard,Gold Standard,GS TPDDTEC v3.1,,13024,UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-44,Malawi,https://registry.goldstandard.org/projects/details/13024
gold_standard,Gold Standard,GS TPDDTEC v3.1,,13023,UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-43,Malawi,https://registry.goldstandard.org/projects/details/13023
gold_standard,Gold Standard,GS TPDDTEC v3.1,,13022,UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-42,Malawi,https://registry.goldstandard.org/projects/details/13022
gold_standard,Gold Standard,GS TPDDTEC v3.1,,13021,UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-41,Malawi,https://registry.goldstandard.org/projects/details/13021
gold_standard,Gold Standard,GS TPDDTEC v3.1,,13020,UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-40,Malawi,https://registry.goldstandard.org/projects/details/13020
gold_standard,Gold Standard,ACM0001 Flaring or use of landfill gas,,12934,Sorriso Sanorte Landfill Gas,Brazil,https://registry.goldstandard.org/projects/details/12934
gold_standard,Gold Standard,ACM0014 Treatment of wastewater,,13115,Effluent Treatment Recycling and Energy Generation (ETREG) Plant Dwangwa,Malawi,https://registry.goldstandard.org/projects/details/13115
