source_id,source_name,source_project_id,project_name,country,status,project_type,methodology_name,developer_or_supplier,estimated_annual_credits,project_url
gold_standard,Gold Standard,1237,Sadilli Wind Farm Project Turkey,Turkey,Gold Standard Certified Project,Wind,,Fiba Yenilenebilir Enerji Holding A.Ş,72598,https://registry.goldstandard.org/projects/details/1237
gold_standard,Gold Standard,1236,UpEnergy Open Access Improved Cookstoves Program in Latin America,El Salvador,Listed,Energy Efficiency - Domestic,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,UpEnergy Group,43646,https://registry.goldstandard.org/projects/details/1236
gold_standard,Gold Standard,1235,CANTA WPP,Turkey,Gold Standard Certified Project,Wind,,GTE KARBON SUSTAINABLE ENERJI EGITIM DANISMANLIK VE TICARET A.S.,92000,https://registry.goldstandard.org/projects/details/1235
gold_standard,Gold Standard,1233,MicroEnergy Credits - Microfinance for Clean Energy Product Lines - India,India,Listed,Energy Efficiency - Domestic,AMS-I.A. Electricity generation by the user,MicroEnergy Credits,72986,https://registry.goldstandard.org/projects/details/1233
gold_standard,Gold Standard,1348,CERIT 90 MW WPP,Turkey,Gold Standard Certified Project,Wind,ACM0002 Grid-connected electricity generation from renewable sources,Pakmem Elektrik Üretim Sanayi ve Ticaret A.Ş,150000,https://registry.goldstandard.org/projects/details/1348
gold_standard,Gold Standard,1231,The Breathing Space Improved Cooking Stoves Programme India - VPA No. 01 Envirofit,India,Gold Standard Certified Project,Energy Efficiency - Domestic,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Envirofit International Ltd.,27495,https://registry.goldstandard.org/projects/details/1231
gold_standard,Gold Standard,1230,Ege Wind Farm Project,Turkey,Gold Standard Certified Project,Wind,AMS-I.D. Grid connected renewable electricity generation,Meltem Enerji Elektrik Üretim A.Ş.,14642,https://registry.goldstandard.org/projects/details/1230
gold_standard,Gold Standard,1229,Organic waste composting in Kathmandu Valley,Nepal,Gold Standard Certified Project,Other,AMS-III.F. Avoidance of methane emissions through controlled biological treatment of biomass,myclimate Foundation,2949,https://registry.goldstandard.org/projects/details/1229
gold_standard,Gold Standard,1228,National Bachu Biomass Power Generation Project,China,Gold Standard Certified Project,"Biomass, or Liquid Biofuel - Electricity",AMS-I.D. Grid connected renewable electricity generation,Swiss Carbon Value Ltd.,39037,https://registry.goldstandard.org/projects/details/1228
gold_standard,Gold Standard,2495,Güvercin Hydroelectric Power Plant,Turkey,Gold Standard Certified Design,"Small, Low - Impact Hydro",ACM0002 Grid-connected electricity generation from renewable sources,BERRAK ENERJI ÜRETIM TICARET VE SANAYI ANONIM SIRKETI,22401,https://registry.goldstandard.org/projects/details/2495
gold_standard,Gold Standard,1224,Dissemination of Solar Water Heating Systems in Bolivia,Bolivia Plurinational State of,Gold Standard Certified Design,Solar Thermal - Heat,AMS-I.J. Solar water heating systems (SWH) ,myclimate Foundation,5000,https://registry.goldstandard.org/projects/details/1224
